tick,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,norm_z,lambda1,omega
10,-0.21677083474247288,-0.208962456049313,-0.23030105751255545,-0.2391714180199421,-0.15857651709475254,0.2576837135536416,1.1084136107799059,1.6058361229036,1.7521354338914394,1.7232846663990493,1.7160901678564042,1.7043037324054382,1.636592624275931,1.3568249022607817,0.4981972514536474,-0.06758405594392969,-0.21434749210759294,-0.2580415892006149,-0.24246132111029067,-0.20689653478089248,-0.25013310623455104,-0.24439085335874625,-0.23136135508498867,-0.23047917488001754,-0.1936078122095267,-0.25943146898524216,-0.24472403446542584,-0.2532387113088752,-0.23547849669644316,-0.24352226861285153,4.641965599728995,-0.0032136510138197627,
11,-0.26233907340543616,-0.2627428668614626,-0.18800671247944817,-0.21590235145848813,-0.051587226947983095,0.5448663715802285,1.4067939474681637,1.628667626529891,1.6948776129112129,1.7147778351856415,1.7146472666680852,1.7204886529617112,1.5756327865289756,1.0693688591308435,0.21699565545475522,-0.15032491179772556,-0.17028545557964475,-0.23769947752760856,-0.270477012533421,-0.24256496981870532,-0.2169458004572098,-0.23971752356078163,-0.24929371812697312,-0.21032895654876807,-0.2280233320611064,-0.2103105182266438,-0.2157466835242099,-0.2340085195963336,-0.2620444359806756,-0.2108692733919428,4.615092740254898,0.002940945525178984,
12,-0.2280052462955035,-0.1836475744240536,-0.2363866158899146,-0.19536671934999605,-0.09918346193640196,0.42451768777950616,1.2774887037815361,1.6400474163273366,1.700839761666224,1.7419607180578833,1.7386664758607064,1.6707980370294049,1.620011923315966,1.088983961766264,0.25937703569817194,-0.1380714236679734,-0.2160345452923227,-0.19258580831791222,-0.24137020165966866,-0.22065992264972858,-0.2298656704196446,-0.22858636937704668,-0.21722766834393736,-0.2062638505773866,-0.2041813101460945,-0.23945068227626193,-0.210543297607303,-0.24714561335588758,-0.22179977737084905,-0.21607531826740428,4.5843072750414775,0.001849691927945818,
13,-0.22543162064246516,-0.2255935193221597,-0.2982482444306491,-0.17765709987756023,0.14812703470473051,1.027857054530902,1.5798069977947982,1.6956319653027156,1.731030518171437,1.7110143684934747,1.7360082674514121,1.6489880531859822,1.3785837289611398,0.5588009587322577,-0.07153439907338391,-0.20367692753739458,-0.23216044730949134,-0.20758670868357318,-0.22480512697171745,-0.19596800741569195,-0.23897092679090692,-0.23375476307644336,-0.20617311553029205,-0.21976179378862282,-0.20287061851007865,-0.23381192322549182,-0.26290598286992867,-0.22874811476443624,-0.20656491605847774,-0.19768852600505474,4.61252575658601,-0.0008443381914619019,
14,-0.22330546602722112,-0.21140366113661793,-0.2289378323201974,-0.08982229044994117,0.5907914317971994,1.3658120037340664,1.6603389471414627,1.7575229292060894,1.7017967723447873,1.7966777289991323,1.7240870162294868,1.6031729679211413,1.0898559023116725,0.22381402435819778,-0.15368265815735344,-0.18094715780108636,-0.22978437006603697,-0.24408273849064901,-0.21972407977731834,-0.2724977863905671,-0.23580753197313198,-0.2145375960449734,-0.22948790417117002,-0.225150527280974,-0.24422484041367942,-0.2570026397772802,-0.22474257036459214,-0.20771116446981996,-0.2194226907845111,-0.2564926321217811,4.685013579278121,-0.008376476991780346,
15,-0.2567800158643049,-0.21682555114210034,-0.17271337202506842,-0.04392632767272096,0.6842289910318318,1.4770574627714765,1.68753698247605,1.709895618542621,1.7639289773623237,1.7569807169290337,1.6855125876615693,1.5729054228270656,0.9694504426810573,0.14073451154762168,-0.19150604814788533,-0.2196419997892931,-0.25134120614324623,-0.25828342091930584,-0.2262321840436467,-0.21780679996838714,-0.27499054769892595,-0.26061396587855373,-0.20783162818893475,-0.23677261899519908,-0.24809681622126503,-0.26633685485411573,-0.2229223471100015,-0.24543414147983564,-0.180091110250964,-0.20653497863207335,4.681119163733741,-0.004386815463958582,
16,-0.2097845401872647,-0.24267498839947962,-0.21123306955445806,-0.17733031828376128,0.13239121214530078,0.995673400784972,1.568504029992865,1.696475187505495,1.7023656062670627,1.7426198012053673,1.7135577849983792,1.6672639672126617,1.4413773885363523,0.6111606282985899,-0.007892832416313292,-0.16184443377233898,-0.20133140650927256,-0.2333954734354086,-0.25311980590797273,-0.2178125698145835,-0.23182460146158046,-0.2538376004185243,-0.25121467078338167,-0.2641585870471222,-0.2235540319456052,-0.2389870396676183,-0.24557354398591202,-0.20972425537359873,-0.22119897517047363,-0.22808334325208576,4.628625414987751,0.0036039747335997463,
17,-0.23422352630463283,-0.24474103204336434,-0.2786921501494173,-0.1800669029042362,0.012615291700874994,0.7622487664432721,1.5145120391164066,1.6994614761298619,1.7188835773301927,1.7434712132200736,1.7387156502942474,1.6928692117128743,1.4989364265766907,0.9087626264953754,0.037305816338921265,-0.21146252823495323,-0.22011715629769718,-0.20596755061351557,-0.24828968681606706,-0.24327394388482215,-0.251693891115318,-0.250315636836169,-0.20980906130159485,-0.2402417183797607,-0.21492579306652815,-0.23012452400747932,-0.21478939234569694,-0.25029613327965794,-0.23820134653665515,-0.23638459675152845,4.663679659244295,-0.002882927863320117,
18,-0.2462627524642109,-0.21179507899034886,-0.22008290554772136,-0.2044882441967274,0.08788818472542295,0.8789666547606108,1.5611739497102985,1.67602364018274,1.7066818534930888,1.729715785763465,1.7125333795665103,1.6762404882251913,1.5163562034219105,0.7580360484571579,0.0314501819745556,-0.15558774738544817,-0.24063077989189435,-0.23081690597215854,-0.22300623884799453,-0.22136524113611666,-0.23642611636229627,-0.23971266649816167,-0.2401976461465513,-0.24688040115896595,-0.2135114483342714,-0.22421387172716734,-0.24093221570987428,-0.21828481338505623,-0.22202069588898582,-0.19368715544313822,4.6367063855505775,0.0025490479478621486,
19,-0.21532315437290306,-0.1960434274417962,-0.2513059221555232,-0.1645074604729519,0.260733425494438,1.08156002819387,1.5726343482425182,1.726404681223038,1.71769471107527,1.7318065450089046,1.6941359146829542,1.6530990282915523,1.348837737577497,0.5347410851771759,-0.06158419887923461,-0.21003730875924376,-0.21639950328403412,-0.28320568130438856,-0.22337779879670644,-0.21309868188649853,-0.23098780289324758,-0.2774658056695118,-0.22147871207991007,-0.2734259609202752,-0.22651186803948709,-0.2763116871713953,-0.22039925184409848,-0.2466569035247356,-0.2552297570337619,-0.2727177493040715,4.628735292354309,0.003588338886710618,
